公告單位,張貼日期,標題,瀏覽人次
註冊組,2023-11-03,公告112學年度學士班延長修業申請時間,229
註冊組,2023-10-03,公告本校112學年度第1學期學士班書卷獎獲獎名單 Announcement of the list of Academic Achievement Award winners for the fall 2023 Semester.,1495
教務處,2023-09-28,歡迎參加11月16日自主學習專題探究經驗分享會,316
研究生教務組,2023-09-15,112學年度第2學期學生逕修讀博士學位招生簡章,732
註冊組,2023-09-01,94年以後出生學士班學生就學期間服役彈性修業申請,750
教務處,2023-06-19,112學年度通識中心「自主學習：MOOCs」學分採計申請,4339
註冊組,2023-05-26,111學年度轉系、雙主修、輔系、預修生申請結果已發布，請至教務系統查詢錄取結果,1954
註冊組,2023-05-18,111學年度第2學期學士班畢業生辦理畢業離校,1900
註冊組,2023-04-07,公告本校111學年度第2學期學士班書卷獎獲獎名單,6047
課務組,2023-02-17,本校學生加選臺大系統課程後，教學平台帳號(NTU COOL / NTUST Moodle)使用說明,3734
